model,technique,measure,value
gemma2-mini,prompted,matched,305
gemma2-mini,prompted,differed,1419
gemma2-mini,prompted,failed,57
gemma2-mini,prompted,hallucinated,18
gemma2,prompted,matched,599
gemma2,prompted,differed,988
gemma2,prompted,failed,199
gemma2,prompted,hallucinated,13
gpt-4o-mini,prompted,matched,691
gpt-4o-mini,prompted,differed,650
gpt-4o-mini,prompted,failed,458
gpt-4o-mini,prompted,hallucinated,0
gpt-4o,prompted,matched,745
gpt-4o,prompted,differed,818
gpt-4o,prompted,failed,222
gpt-4o,prompted,hallucinated,14
hermes3-mini,prompted,matched,445
hermes3-mini,prompted,differed,928
hermes3-mini,prompted,failed,411
hermes3-mini,prompted,hallucinated,15
hermes3-mini,proximity,matched,191
hermes3-mini,proximity,differed,1608
hermes3-mini,proximity,failed,0
hermes3-mini,proximity,hallucinated,0
llama31-mini,prompted,matched,598
llama31-mini,prompted,differed,1075
llama31-mini,prompted,failed,113
llama31-mini,prompted,hallucinated,13
llama31-mini,proximity,matched,287
llama31-mini,proximity,differed,1512
llama31-mini,proximity,failed,0
llama31-mini,proximity,hallucinated,0
llama31,prompted,matched,753
llama31,prompted,differed,986
llama31,prompted,failed,58
llama31,prompted,hallucinated,2
llama31,proximity,matched,232
llama31,proximity,differed,1567
llama31,proximity,failed,0
llama31,proximity,hallucinated,0
llama32-micro,prompted,matched,434
llama32-micro,prompted,differed,1337
llama32-micro,prompted,failed,26
llama32-micro,prompted,hallucinated,2
llama32-micro,proximity,matched,162
llama32-micro,proximity,differed,1637
llama32-micro,proximity,failed,0
llama32-micro,proximity,hallucinated,0
llama32-nano,prompted,matched,0
llama32-nano,prompted,differed,0
llama32-nano,prompted,failed,1793
llama32-nano,prompted,hallucinated,6
llama32-nano,proximity,matched,248
llama32-nano,proximity,differed,1551
llama32-nano,proximity,failed,0
llama32-nano,proximity,hallucinated,0
phi35,prompted,matched,103
phi35,prompted,differed,550
phi35,prompted,failed,72
phi35,prompted,hallucinated,1074
phi35,proximity,matched,57
phi35,proximity,differed,1742
phi35,proximity,failed,0
phi35,proximity,hallucinated,0
qwen25-mini,prompted,matched,3
qwen25-mini,prompted,differed,14
qwen25-mini,prompted,failed,1778
qwen25-mini,prompted,hallucinated,4
qwen25-mini,proximity,matched,205
qwen25-mini,proximity,differed,1594
qwen25-mini,proximity,failed,0
qwen25-mini,proximity,hallucinated,0
qwen25,prompted,matched,78
qwen25,prompted,differed,1250
qwen25,prompted,failed,465
qwen25,prompted,hallucinated,6
qwen25,proximity,matched,219
qwen25,proximity,differed,1580
qwen25,proximity,failed,0
qwen25,proximity,hallucinated,0
google-text,proximity,matched,659
google-text,proximity,differed,1140
google-text,proximity,failed,0
google-text,proximity,hallucinated,0
mxbai-query,proximity,matched,586
mxbai-query,proximity,differed,1213
mxbai-query,proximity,failed,0
mxbai-query,proximity,hallucinated,0
mxbai,proximity,matched,419
mxbai,proximity,differed,1380
mxbai,proximity,failed,0
mxbai,proximity,hallucinated,0
nomic-classify,proximity,matched,448
nomic-classify,proximity,differed,1351
nomic-classify,proximity,failed,0
nomic-classify,proximity,hallucinated,0
nomic-cluster,proximity,matched,490
nomic-cluster,proximity,differed,1309
nomic-cluster,proximity,failed,0
nomic-cluster,proximity,hallucinated,0
nomic-doc,proximity,matched,385
nomic-doc,proximity,differed,1414
nomic-doc,proximity,failed,0
nomic-doc,proximity,hallucinated,0
nomic-query,proximity,matched,450
nomic-query,proximity,differed,1349
nomic-query,proximity,failed,0
nomic-query,proximity,hallucinated,0
oai-text-large,proximity,matched,518
oai-text-large,proximity,differed,1281
oai-text-large,proximity,failed,0
oai-text-large,proximity,hallucinated,0
oai-text-mini,proximity,matched,615
oai-text-mini,proximity,differed,1184
oai-text-mini,proximity,failed,0
oai-text-mini,proximity,hallucinated,0
paraphrase,proximity,matched,481
paraphrase,proximity,differed,1318
paraphrase,proximity,failed,0
paraphrase,proximity,hallucinated,0
smollm-mini,proximity,matched,167
smollm-mini,proximity,differed,1632
smollm-mini,proximity,failed,0
smollm-mini,proximity,hallucinated,0
snowflake-mini,proximity,matched,480
snowflake-mini,proximity,differed,1319
snowflake-mini,proximity,failed,0
snowflake-mini,proximity,hallucinated,0
snowflake,proximity,matched,488
snowflake,proximity,differed,1311
snowflake,proximity,failed,0
snowflake,proximity,hallucinated,0
